block_id,_block_lat,_block_lon,split,n_window_samples,lat_min,lat_max,lon_min,lon_max,lat_center,lon_center,split_code
249_156,249,156,train,72,34.5,35.0,-102.0,-101.5,34.75,-101.75,1
250_118,250,118,train,123,35.0,35.5,-121.0,-120.5,35.25,-120.75,1
250_119,250,119,train,78,35.0,35.5,-120.5,-120.0,35.25,-120.25,1
250_135,250,135,train,19,35.0,35.5,-112.5,-112.0,35.25,-112.25,1
250_136,250,136,train,4,35.0,35.5,-112.0,-111.5,35.25,-111.75,1
250_142,250,142,test,36,35.0,35.5,-109.0,-108.5,35.25,-108.75,3
251_123,251,123,train,15,35.5,36.0,-118.5,-118.0,35.75,-118.25,1
251_136,251,136,val,3,35.5,36.0,-112.0,-111.5,35.75,-111.75,2
251_141,251,141,train,36,35.5,36.0,-109.5,-109.0,35.75,-109.25,1
251_146,251,146,train,11,35.5,36.0,-107.0,-106.5,35.75,-106.75,1
251_147,251,147,train,6,35.5,36.0,-106.5,-106.0,35.75,-106.25,1
251_148,251,148,train,48,35.5,36.0,-106.0,-105.5,35.75,-105.75,1
251_149,251,149,train,36,35.5,36.0,-105.5,-105.0,35.75,-105.25,1
251_159,251,159,train,65,35.5,36.0,-100.5,-100.0,35.75,-100.25,1
252_122,252,122,train,7,36.0,36.5,-119.0,-118.5,36.25,-118.75,1
252_128,252,128,train,1,36.0,36.5,-116.0,-115.5,36.25,-115.75,1
252_132,252,132,train,78,36.0,36.5,-114.0,-113.5,36.25,-113.75,1
252_133,252,133,train,96,36.0,36.5,-113.5,-113.0,36.25,-113.25,1
252_135,252,135,val,49,36.0,36.5,-112.5,-112.0,36.25,-112.25,2
252_136,252,136,train,13,36.0,36.5,-112.0,-111.5,36.25,-111.75,1
252_142,252,142,train,93,36.0,36.5,-109.0,-108.5,36.25,-108.75,1
252_144,252,144,train,11,36.0,36.5,-108.0,-107.5,36.25,-107.75,1
252_146,252,146,train,72,36.0,36.5,-107.0,-106.5,36.25,-106.75,1
252_147,252,147,test,56,36.0,36.5,-106.5,-106.0,36.25,-106.25,3
252_148,252,148,train,147,36.0,36.5,-106.0,-105.5,36.25,-105.75,1
252_197,252,197,val,1,36.0,36.5,-81.5,-81.0,36.25,-81.25,2
253_122,253,122,train,31,36.5,37.0,-119.0,-118.5,36.75,-118.75,1
253_132,253,132,test,105,36.5,37.0,-114.0,-113.5,36.75,-113.75,3
253_135,253,135,train,113,36.5,37.0,-112.5,-112.0,36.75,-112.25,1
253_144,253,144,train,4,36.5,37.0,-108.0,-107.5,36.75,-107.75,1
253_145,253,145,val,255,36.5,37.0,-107.5,-107.0,36.75,-107.25,2
253_147,253,147,train,21,36.5,37.0,-106.5,-106.0,36.75,-106.25,1
253_148,253,148,train,87,36.5,37.0,-106.0,-105.5,36.75,-105.75,1
253_149,253,149,val,84,36.5,37.0,-105.5,-105.0,36.75,-105.25,2
254_116,254,116,test,9,37.0,37.5,-122.0,-121.5,37.25,-121.75,3
254_120,254,120,train,18,37.0,37.5,-120.0,-119.5,37.25,-119.75,1
254_130,254,130,train,2,37.0,37.5,-115.0,-114.5,37.25,-114.75,1
254_133,254,133,train,44,37.0,37.5,-113.5,-113.0,37.25,-113.25,1
254_142,254,142,train,38,37.0,37.5,-109.0,-108.5,37.25,-108.75,1
254_143,254,143,train,23,37.0,37.5,-108.5,-108.0,37.25,-108.25,1
254_144,254,144,train,32,37.0,37.5,-108.0,-107.5,37.25,-107.75,1
254_145,254,145,train,43,37.0,37.5,-107.5,-107.0,37.25,-107.25,1
254_147,254,147,train,115,37.0,37.5,-106.5,-106.0,37.25,-106.25,1
254_153,254,153,train,75,37.0,37.5,-103.5,-103.0,37.25,-103.25,1
254_154,254,154,train,75,37.0,37.5,-103.0,-102.5,37.25,-102.75,1
254_156,254,156,train,41,37.0,37.5,-102.0,-101.5,37.25,-101.75,1
254_558,254,558,train,1,37.0,37.5,99.0,99.5,37.25,99.25,1
255_119,255,119,train,2,37.5,38.0,-120.5,-120.0,37.75,-120.25,1
255_120,255,120,train,112,37.5,38.0,-120.0,-119.5,37.75,-119.75,1
255_121,255,121,train,38,37.5,38.0,-119.5,-119.0,37.75,-119.25,1
255_122,255,122,train,23,37.5,38.0,-119.0,-118.5,37.75,-118.75,1
255_131,255,131,train,60,37.5,38.0,-114.5,-114.0,37.75,-114.25,1
255_132,255,132,train,50,37.5,38.0,-114.0,-113.5,37.75,-113.75,1
255_134,255,134,train,101,37.5,38.0,-113.0,-112.5,37.75,-112.75,1
255_135,255,135,train,62,37.5,38.0,-112.5,-112.0,37.75,-112.25,1
255_136,255,136,test,121,37.5,38.0,-112.0,-111.5,37.75,-111.75,3
255_140,255,140,train,192,37.5,38.0,-110.0,-109.5,37.75,-109.75,1
255_142,255,142,train,52,37.5,38.0,-109.0,-108.5,37.75,-108.75,1
255_146,255,146,train,74,37.5,38.0,-107.0,-106.5,37.75,-106.75,1
255_149,255,149,train,118,37.5,38.0,-105.5,-105.0,37.75,-105.25,1
255_151,255,151,train,67,37.5,38.0,-104.5,-104.0,37.75,-104.25,1
255_152,255,152,train,136,37.5,38.0,-104.0,-103.5,37.75,-103.75,1
256_118,256,118,val,54,38.0,38.5,-121.0,-120.5,38.25,-120.75,2
256_119,256,119,test,25,38.0,38.5,-120.5,-120.0,38.25,-120.25,3
256_121,256,121,train,175,38.0,38.5,-119.5,-119.0,38.25,-119.25,1
256_132,256,132,train,63,38.0,38.5,-114.0,-113.5,38.25,-113.75,1
256_134,256,134,test,12,38.0,38.5,-113.0,-112.5,38.25,-112.75,3
256_135,256,135,train,22,38.0,38.5,-112.5,-112.0,38.25,-112.25,1
256_137,256,137,train,88,38.0,38.5,-111.5,-111.0,38.25,-111.25,1
256_138,256,138,train,55,38.0,38.5,-111.0,-110.5,38.25,-110.75,1
256_141,256,141,val,195,38.0,38.5,-109.5,-109.0,38.25,-109.25,2
256_143,256,143,train,41,38.0,38.5,-108.5,-108.0,38.25,-108.25,1
256_144,256,144,train,21,38.0,38.5,-108.0,-107.5,38.25,-107.75,1
256_145,256,145,train,56,38.0,38.5,-107.5,-107.0,38.25,-107.25,1
256_146,256,146,train,60,38.0,38.5,-107.0,-106.5,38.25,-106.75,1
256_147,256,147,test,10,38.0,38.5,-106.5,-106.0,38.25,-106.25,3
256_148,256,148,train,95,38.0,38.5,-106.0,-105.5,38.25,-105.75,1
256_149,256,149,train,80,38.0,38.5,-105.5,-105.0,38.25,-105.25,1
256_150,256,150,train,90,38.0,38.5,-105.0,-104.5,38.25,-104.75,1
256_414,256,414,train,1,38.0,38.5,27.0,27.5,38.25,27.25,1
257_114,257,114,val,40,38.5,39.0,-123.0,-122.5,38.75,-122.75,2
257_117,257,117,train,12,38.5,39.0,-121.5,-121.0,38.75,-121.25,1
257_118,257,118,train,16,38.5,39.0,-121.0,-120.5,38.75,-120.75,1
257_119,257,119,train,25,38.5,39.0,-120.5,-120.0,38.75,-120.25,1
257_120,257,120,train,34,38.5,39.0,-120.0,-119.5,38.75,-119.75,1
257_129,257,129,train,35,38.5,39.0,-115.5,-115.0,38.75,-115.25,1
257_130,257,130,train,139,38.5,39.0,-115.0,-114.5,38.75,-114.75,1
257_134,257,134,train,155,38.5,39.0,-113.0,-112.5,38.75,-112.75,1
257_135,257,135,train,45,38.5,39.0,-112.5,-112.0,38.75,-112.25,1
257_136,257,136,train,32,38.5,39.0,-112.0,-111.5,38.75,-111.75,1
257_142,257,142,train,22,38.5,39.0,-109.0,-108.5,38.75,-108.75,1
257_143,257,143,train,5,38.5,39.0,-108.5,-108.0,38.75,-108.25,1
257_144,257,144,train,105,38.5,39.0,-108.0,-107.5,38.75,-107.75,1
257_147,257,147,train,85,38.5,39.0,-106.5,-106.0,38.75,-106.25,1
257_148,257,148,train,192,38.5,39.0,-106.0,-105.5,38.75,-105.75,1
257_149,257,149,train,80,38.5,39.0,-105.5,-105.0,38.75,-105.25,1
257_203,257,203,train,3,38.5,39.0,-78.5,-78.0,38.75,-78.25,1
258_113,258,113,train,167,39.0,39.5,-123.5,-123.0,39.25,-123.25,1
258_114,258,114,train,95,39.0,39.5,-123.0,-122.5,39.25,-122.75,1
258_115,258,115,test,11,39.0,39.5,-122.5,-122.0,39.25,-122.25,3
258_117,258,117,test,35,39.0,39.5,-121.5,-121.0,39.25,-121.25,3
258_118,258,118,train,5,39.0,39.5,-121.0,-120.5,39.25,-120.75,1
258_119,258,119,train,5,39.0,39.5,-120.5,-120.0,39.25,-120.25,1
258_124,258,124,train,85,39.0,39.5,-118.0,-117.5,39.25,-117.75,1
258_128,258,128,train,57,39.0,39.5,-116.0,-115.5,39.25,-115.75,1
258_130,258,130,train,254,39.0,39.5,-115.0,-114.5,39.25,-114.75,1
258_133,258,133,train,181,39.0,39.5,-113.5,-113.0,39.25,-113.25,1
258_137,258,137,test,6,39.0,39.5,-111.5,-111.0,39.25,-111.25,3
258_138,258,138,train,36,39.0,39.5,-111.0,-110.5,39.25,-110.75,1
258_141,258,141,test,295,39.0,39.5,-109.5,-109.0,39.25,-109.25,3
258_143,258,143,test,34,39.0,39.5,-108.5,-108.0,39.25,-108.25,3
258_144,258,144,train,39,39.0,39.5,-108.0,-107.5,39.25,-107.75,1
258_145,258,145,train,4,39.0,39.5,-107.5,-107.0,39.25,-107.25,1
258_147,258,147,train,168,39.0,39.5,-106.5,-106.0,39.25,-106.25,1
258_148,258,148,train,36,39.0,39.5,-106.0,-105.5,39.25,-105.75,1
258_149,258,149,train,97,39.0,39.5,-105.5,-105.0,39.25,-105.25,1
258_350,258,350,train,25,39.0,39.5,-5.0,-4.5,39.25,-4.75,1
258_351,258,351,train,47,39.0,39.5,-4.5,-4.0,39.25,-4.25,1
259_113,259,113,train,110,39.5,40.0,-123.5,-123.0,39.75,-123.25,1
259_114,259,114,train,11,39.5,40.0,-123.0,-122.5,39.75,-122.75,1
259_116,259,116,train,3,39.5,40.0,-122.0,-121.5,39.75,-121.75,1
259_117,259,117,train,13,39.5,40.0,-121.5,-121.0,39.75,-121.25,1
259_118,259,118,train,29,39.5,40.0,-121.0,-120.5,39.75,-120.75,1
259_119,259,119,train,21,39.5,40.0,-120.5,-120.0,39.75,-120.25,1
259_120,259,120,train,20,39.5,40.0,-120.0,-119.5,39.75,-119.75,1
259_125,259,125,train,110,39.5,40.0,-117.5,-117.0,39.75,-117.25,1
259_135,259,135,train,243,39.5,40.0,-112.5,-112.0,39.75,-112.25,1
259_137,259,137,train,6,39.5,40.0,-111.5,-111.0,39.75,-111.25,1
259_138,259,138,val,55,39.5,40.0,-111.0,-110.5,39.75,-110.75,2
259_139,259,139,val,74,39.5,40.0,-110.5,-110.0,39.75,-110.25,2
259_142,259,142,train,53,39.5,40.0,-109.0,-108.5,39.75,-108.75,1
259_144,259,144,train,139,39.5,40.0,-108.0,-107.5,39.75,-107.75,1
259_147,259,147,test,74,39.5,40.0,-106.5,-106.0,39.75,-106.25,3
259_148,259,148,train,83,39.5,40.0,-106.0,-105.5,39.75,-105.75,1
259_149,259,149,train,12,39.5,40.0,-105.5,-105.0,39.75,-105.25,1
259_348,259,348,val,26,39.5,40.0,-6.0,-5.5,39.75,-5.75,2
260_112,260,112,val,5,40.0,40.5,-124.0,-123.5,40.25,-123.75,2
260_113,260,113,train,9,40.0,40.5,-123.5,-123.0,40.25,-123.25,1
260_116,260,116,train,3,40.0,40.5,-122.0,-121.5,40.25,-121.75,1
260_117,260,117,train,46,40.0,40.5,-121.5,-121.0,40.25,-121.25,1
260_118,260,118,train,51,40.0,40.5,-121.0,-120.5,40.25,-120.75,1
260_119,260,119,train,91,40.0,40.5,-120.5,-120.0,40.25,-120.25,1
260_124,260,124,train,164,40.0,40.5,-118.0,-117.5,40.25,-117.75,1
260_126,260,126,train,178,40.0,40.5,-117.0,-116.5,40.25,-116.75,1
260_134,260,134,train,21,40.0,40.5,-113.0,-112.5,40.25,-112.75,1
260_135,260,135,train,227,40.0,40.5,-112.5,-112.0,40.25,-112.25,1
260_139,260,139,train,13,40.0,40.5,-110.5,-110.0,40.25,-110.25,1
260_141,260,141,train,42,40.0,40.5,-109.5,-109.0,40.25,-109.25,1
260_142,260,142,train,101,40.0,40.5,-109.0,-108.5,40.25,-108.75,1
260_143,260,143,val,133,40.0,40.5,-108.5,-108.0,40.25,-108.25,2
260_144,260,144,train,48,40.0,40.5,-108.0,-107.5,40.25,-107.75,1
260_145,260,145,train,34,40.0,40.5,-107.5,-107.0,40.25,-107.25,1
260_146,260,146,train,37,40.0,40.5,-107.0,-106.5,40.25,-106.75,1
260_148,260,148,train,141,40.0,40.5,-106.0,-105.5,40.25,-105.75,1
260_149,260,149,train,15,40.0,40.5,-105.5,-105.0,40.25,-105.25,1
261_112,261,112,train,93,40.5,41.0,-124.0,-123.5,40.75,-123.75,1
261_113,261,113,train,43,40.5,41.0,-123.5,-123.0,40.75,-123.25,1
261_114,261,114,val,97,40.5,41.0,-123.0,-122.5,40.75,-122.75,2
261_115,261,115,train,48,40.5,41.0,-122.5,-122.0,40.75,-122.25,1
261_116,261,116,train,44,40.5,41.0,-122.0,-121.5,40.75,-121.75,1
261_118,261,118,train,38,40.5,41.0,-121.0,-120.5,40.75,-120.75,1
261_119,261,119,train,135,40.5,41.0,-120.5,-120.0,40.75,-120.25,1
261_124,261,124,train,276,40.5,41.0,-118.0,-117.5,40.75,-117.75,1
261_126,261,126,train,13,40.5,41.0,-117.0,-116.5,40.75,-116.75,1
261_127,261,127,test,96,40.5,41.0,-116.5,-116.0,40.75,-116.25,3
261_128,261,128,train,22,40.5,41.0,-116.0,-115.5,40.75,-115.75,1
261_134,261,134,val,219,40.5,41.0,-113.0,-112.5,40.75,-112.75,2
261_137,261,137,train,26,40.5,41.0,-111.5,-111.0,40.75,-111.25,1
261_138,261,138,train,41,40.5,41.0,-111.0,-110.5,40.75,-110.75,1
261_139,261,139,train,107,40.5,41.0,-110.5,-110.0,40.75,-110.25,1
261_140,261,140,test,151,40.5,41.0,-110.0,-109.5,40.75,-109.75,3
261_141,261,141,val,77,40.5,41.0,-109.5,-109.0,40.75,-109.25,2
261_142,261,142,train,140,40.5,41.0,-109.0,-108.5,40.75,-108.75,1
261_144,261,144,train,138,40.5,41.0,-108.0,-107.5,40.75,-107.75,1
261_146,261,146,train,13,40.5,41.0,-107.0,-106.5,40.75,-106.75,1
261_147,261,147,train,79,40.5,41.0,-106.5,-106.0,40.75,-106.25,1
261_148,261,148,train,43,40.5,41.0,-106.0,-105.5,40.75,-105.75,1
262_112,262,112,train,28,41.0,41.5,-124.0,-123.5,41.25,-123.75,1
262_113,262,113,train,78,41.0,41.5,-123.5,-123.0,41.25,-123.25,1
262_115,262,115,train,273,41.0,41.5,-122.5,-122.0,41.25,-122.25,1
262_117,262,117,val,27,41.0,41.5,-121.5,-121.0,41.25,-121.25,2
262_118,262,118,train,132,41.0,41.5,-121.0,-120.5,41.25,-120.75,1
262_119,262,119,val,85,41.0,41.5,-120.5,-120.0,41.25,-120.25,2
262_129,262,129,test,10,41.0,41.5,-115.5,-115.0,41.25,-115.25,3
262_130,262,130,train,163,41.0,41.5,-115.0,-114.5,41.25,-114.75,1
262_136,262,136,train,124,41.0,41.5,-112.0,-111.5,41.25,-111.75,1
262_138,262,138,train,6,41.0,41.5,-111.0,-110.5,41.25,-110.75,1
262_141,262,141,train,132,41.0,41.5,-109.5,-109.0,41.25,-109.25,1
262_144,262,144,train,303,41.0,41.5,-108.0,-107.5,41.25,-107.75,1
262_145,262,145,val,32,41.0,41.5,-107.5,-107.0,41.25,-107.25,2
262_147,262,147,train,249,41.0,41.5,-106.5,-106.0,41.25,-106.25,1
262_149,262,149,train,30,41.0,41.5,-105.5,-105.0,41.25,-105.25,1
262_168,262,168,train,5,41.0,41.5,-96.0,-95.5,41.25,-95.75,1
263_113,263,113,train,4,41.5,42.0,-123.5,-123.0,41.75,-123.25,1
263_114,263,114,train,39,41.5,42.0,-123.0,-122.5,41.75,-122.75,1
263_115,263,115,train,48,41.5,42.0,-122.5,-122.0,41.75,-122.25,1
263_116,263,116,train,92,41.5,42.0,-122.0,-121.5,41.75,-121.75,1
263_117,263,117,train,102,41.5,42.0,-121.5,-121.0,41.75,-121.25,1
263_118,263,118,train,37,41.5,42.0,-121.0,-120.5,41.75,-120.75,1
263_119,263,119,train,36,41.5,42.0,-120.5,-120.0,41.75,-120.25,1
263_120,263,120,train,131,41.5,42.0,-120.0,-119.5,41.75,-119.75,1
263_124,263,124,train,180,41.5,42.0,-118.0,-117.5,41.75,-117.75,1
263_132,263,132,val,61,41.5,42.0,-114.0,-113.5,41.75,-113.75,2
263_133,263,133,train,4,41.5,42.0,-113.5,-113.0,41.75,-113.25,1
263_136,263,136,train,24,41.5,42.0,-112.0,-111.5,41.75,-111.75,1
263_138,263,138,train,10,41.5,42.0,-111.0,-110.5,41.75,-110.75,1
263_139,263,139,train,38,41.5,42.0,-110.5,-110.0,41.75,-110.25,1
263_145,263,145,train,90,41.5,42.0,-107.5,-107.0,41.75,-107.25,1
263_147,263,147,train,37,41.5,42.0,-106.5,-106.0,41.75,-106.25,1
263_159,263,159,test,34,41.5,42.0,-100.5,-100.0,41.75,-100.25,3
263_168,263,168,train,13,41.5,42.0,-96.0,-95.5,41.75,-95.75,1
263_361,263,361,train,30,41.5,42.0,0.5,1.0,41.75,0.75,1
263_362,263,362,test,191,41.5,42.0,1.0,1.5,41.75,1.25,3
263_363,263,363,train,11,41.5,42.0,1.5,2.0,41.75,1.75,1
264_113,264,113,train,14,42.0,42.5,-123.5,-123.0,42.25,-123.25,1
264_117,264,117,train,1,42.0,42.5,-121.5,-121.0,42.25,-121.25,1
264_119,264,119,train,4,42.0,42.5,-120.5,-120.0,42.25,-120.25,1
264_120,264,120,test,284,42.0,42.5,-120.0,-119.5,42.25,-119.75,3
264_122,264,122,train,21,42.0,42.5,-119.0,-118.5,42.25,-118.75,1
264_124,264,124,val,179,42.0,42.5,-118.0,-117.5,42.25,-117.75,2
264_128,264,128,train,104,42.0,42.5,-116.0,-115.5,42.25,-115.75,1
264_129,264,129,train,253,42.0,42.5,-115.5,-115.0,42.25,-115.25,1
264_131,264,131,train,204,42.0,42.5,-114.5,-114.0,42.25,-114.25,1
